Vuosi,y_coord,x_coord,Onnettomuustyyppi 1
2010,6679452,3396642,21 Rakennuspalo
2010,6676087,3389836,21 Rakennuspalo
2010,6680134,3386363,21 Rakennuspalo
2010,6684757,3378310,21 Rakennuspalo
2010,6679074,3378380,21 Rakennuspalo
2010,6674336,3385114,21 Rakennuspalo
2010,6674669,3386183,21 Rakennuspalo
2010,6683978,3365986,21 Rakennuspalo
2010,6679668,3394594,21 Rakennuspalo
2010,6686351,3379638,21 Rakennuspalo
2010,6675359,3385034,21 Rakennuspalo
2010,6673601,3392922,21 Rakennuspalo
2010,6674736,3385048,21 Rakennuspalo
2010,6672657,3369965,21 Rakennuspalo
2010,6685149,3381615,21 Rakennuspalo
2010,6679937,3376643,21 Rakennuspalo
2010,6672321,3370022,21 Rakennuspalo
2010,6673069,3369932,21 Rakennuspalo
2010,6678701,3385383,21 Rakennuspalo
2010,6675553,3378272,21 Rakennuspalo
2010,6678828,3371010,21 Rakennuspalo
2010,6677047,3386995,21 Rakennuspalo
2010,6691726,3373915,21 Rakennuspalo
2010,6677844,3387154,21 Rakennuspalo
2010,6677973,3385720,21 Rakennuspalo
2010,6679207,3391351,21 Rakennuspalo
2010,6686008,3391120,21 Rakennuspalo
2010,6689526,3388713,21 Rakennuspalo
2010,6675156,3384947,21 Rakennuspalo
2010,6679519,3386726,21 Rakennuspalo
2010,6681242,3387034,21 Rakennuspalo
2010,6677835,3386564,21 Rakennuspalo
2010,6682923,3385308,21 Rakennuspalo
2010,6687872,3384946,21 Rakennuspalo
2010,6676478,3386832,21 Rakennuspalo
2010,6677515,3391735,21 Rakennuspalo
2010,6687265,3392083,21 Rakennuspalo
2009,6682665,3393852,21 Rakennuspalo
2009,6678580,3397348,21 Rakennuspalo
2009,6682697,3393545,21 Rakennuspalo
2009,6681134,3373048,21 Rakennuspalo
2009,6680020,3396771,21 Rakennuspalo
2009,6686809,3380536,21 Rakennuspalo
2009,6682381,3382932,21 Rakennuspalo
2009,6688018,3395935,21 Rakennuspalo
2009,6695061,3392820,21 Rakennuspalo
2009,6685557,3392618,21 Rakennuspalo
2009,6681687,3383739,21 Rakennuspalo
2009,6678805,3387129,21 Rakennuspalo
2009,6693790,3395104,21 Rakennuspalo
2009,6682526,3394468,21 Rakennuspalo
2009,6693899,3395092,21 Rakennuspalo
2009,6675233,3370473,21 Rakennuspalo
2009,6681285,3392467,21 Rakennuspalo
2009,6672911,3371200,21 Rakennuspalo
2009,6685211,3381217,21 Rakennuspalo
2009,6676775,3384424,21 Rakennuspalo
2009,6677567,3391565,21 Rakennuspalo
2009,6681657,3392728,21 Rakennuspalo
